fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.929,other,,,,,,,,,,0.51,4,3,4,4,4,,0,291093,2513,192919,2300149,500,1736,1174,10,,200,102,3,,406,1910860,530640,448757,2023-10-17,https://covidactnow.org/us/north_dakota-nd,0.696,0.589,2,1314469,3,219540,0.288,,,,,,,,,,0.006,,35,,4.6,,0,120653,0.158
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.115,other,,,,,,,,,,0.7,4,2,4,4,4,,0,575134,5089,429304,2676820,1000,4749,3225,12,,489,340,14,,373,5481710,1425923,1286860,2023-10-17,https://covidactnow.org/us/nebraska-ne,0.737,0.665,24,3822190,3,718168,0.371,,,,,,,,,,0.003,,63,,3.3,,0,340508,0.176
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.113,other,,,,,,,,,,0.74,4,2,4,4,4,,1,382013,3052,312131,4147847,140,2629,2094,33,,225,166,4,,281,,,,2023-10-17,https://covidactnow.org/us/new_hampshire-nh,,,6,,3,,,,,,,,,,,,0.013,,108,,7.9,,0,,
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.0,other,,,,,,,,,,0.46,4,0,4,4,4,,0,3075271,36118,2808332,30083756,3000,21776,15333,607,,2719,1239,50,,1643,29637655,8430561,7043583,2023-10-17,https://covidactnow.org/us/new_jersey-nj,0.949,0.793,1,19826065,0,3671069,0.413,,,,,,,,,,0.028,,689,,7.8,,0,1517614,0.171
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,,other,,,,,,,,,,0.76,4,4,4,4,4,,1,681242,9236,1341516,6122559,375,4021,2856,0,,367,279,12,,804,6176205,1989307,1582545,2023-10-17,https://covidactnow.org/us/new_mexico-nm,0.949,0.755,0,4750638,4,867565,0.414,,,,,,,,,,0.0,,92,,4.4,,0,467615,0.223
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.233,other,,,,,,,,,,0.73,4,3,4,4,4,,1,898511,12008,1003311,5965885,600,6803,5017,48,,796,578,15,,640,7722770,2400362,1966594,2023-10-17,https://covidactnow.org/us/nevada-nv,0.779,0.638,10,5590682,3,864281,0.281,,,,,,,,,,0.007,,127,,4.1,,0,403450,0.131
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.16,other,,,,,,,,,,0.72,4,2,4,4,4,,1,6838769,77522,7332593,99326824,9620,44688,35489,816,,4417,3187,163,,3732,61302975,18427712,15763340,2023-10-17,https://covidactnow.org/us/new_york-ny,0.947,0.81,44,45177512,3,7736198,0.398,,,,,,,,,,0.018,,1684,,8.7,,0,3434920,0.177
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.14,other,,,,,,,,,,0.7,4,2,4,4,4,,0,3441458,42207,2749594,23051479,1659,22629,16823,165,,3168,2215,52,,2978,31703485,7707458,7089473,2023-10-17,https://covidactnow.org/us/ohio-oh,0.659,0.607,40,21104771,3,4028396,0.345,,,,,,,,,,0.007,,634,,5.4,,0,1896883,0.162
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.149,other,,,,,,,,,,0.72,4,2,4,4,4,,1,1306350,16157,1010864,3912391,700,8547,5684,103,,877,633,19,,956,9702330,2961991,2399774,2023-10-17,https://covidactnow.org/us/oklahoma-ok,0.749,0.606,38,6773461,3,1005893,0.254,,,,,,,,,,0.012,,151,,3.8,,0,479528,0.121
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,,other,,,,,,,,,,0.75,4,4,4,4,4,,1,975856,9550,812458,9316835,656,6478,4921,106,,635,479,20,,932,14222125,3459096,3065513,2023-10-17,https://covidactnow.org/us/oregon-or,0.82,0.727,6,9399175,4,1812982,0.43,,,,,,,,,,0.016,,300,,7.1,,0,944587,0.224
